attrition,age,travel,department,distance,gender,job_satisf,marital,num_comp,total_exp,yrs_in comp,yrs_in_curr_role,yrs_since_prom,yrs_with_curr_mgr
No,31,Travel_Rarely,Research & Development,7,Male,4,Divorced,3,10,7,7,1,7
No,32,Travel_Rarely,Research & Development,1,Male,4,Married,1,9,9,8,7,8
No,50,Travel_Rarely,Research & Development,7,Female,3,Divorced,5,29,27,3,13,8
No,36,Travel_Frequently,Research & Development,11,Male,2,Single,1,6,6,5,0,3
No,45,Travel_Rarely,Research & Development,7,Male,1,Divorced,2,25,1,0,0,0
No,35,Travel_Frequently,Research & Development,1,Male,1,Married,4,5,3,2,1,2
No,59,Travel_Frequently,Sales,1,Female,3,Single,7,20,4,3,1,3
No,29,Travel_Rarely,Research & Development,2,Male,2,Married,0,6,5,4,0,4
No,31,Travel_Rarely,Research & Development,1,Male,2,Single,1,1,1,1,1,0
No,36,Travel_Rarely,Research & Development,6,Female,4,Married,3,5,1,0,0,0
No,31,Travel_Rarely,Research & Development,8,Female,4,Single,1,11,11,7,1,8
No,35,Travel_Rarely,Sales,1,Male,1,Single,0,16,15,13,2,8
No,37,Travel_Rarely,Research & Development,7,Male,3,Single,4,16,5,2,0,2
No,46,Travel_Rarely,Human Resources,5,Male,2,Divorced,8,16,4,2,0,2
No,35,Travel_Rarely,Research & Development,1,Male,3,Single,1,6,6,4,0,4
No,55,Travel_Rarely,Sales,1,Male,4,Married,3,24,1,0,1,0
No,38,Non-Travel,Research & Development,6,Female,4,Divorced,7,17,13,11,1,9
No,34,Travel_Rarely,Research & Development,1,Male,2,Married,1,5,5,2,1,3
No,23,Travel_Rarely,Sales,2,Male,1,Divorced,3,3,0,0,0,0
No,51,Travel_Rarely,Research & Development,9,Male,4,Married,3,10,4,2,0,3
No,30,Travel_Rarely,Research & Development,2,Male,4,Married,1,11,11,10,10,8
Yes,46,Travel_Rarely,Sales,9,Male,4,Single,1,9,9,8,4,7
No,40,Travel_Frequently,Research & Development,1,Male,2,Married,1,22,22,3,11,11
No,51,Travel_Rarely,Sales,21,Male,4,Single,0,11,10,7,1,0
No,46,Travel_Frequently,Research & Development,1,Male,1,Married,2,21,10,9,9,5
No,32,Travel_Rarely,Sales,6,Male,3,Single,1,12,11,8,5,7
No,24,Travel_Rarely,Sales,3,Female,3,Married,0,4,3,2,0,2
No,28,Non-Travel,Sales,4,Male,3,Married,1,5,5,4,0,4
Yes,37,Travel_Rarely,Human Resources,6,Male,1,Divorced,4,7,3,2,0,2
Yes,20,Travel_Frequently,Research & Development,6,Female,4,Single,1,1,1,0,1,0
No,37,Non-Travel,Research & Development,2,Male,4,Divorced,5,17,1,0,0,0
No,59,Non-Travel,Human Resources,2,Female,4,Married,9,30,3,2,2,2
No,25,Travel_Rarely,Research & Development,7,Male,4,Married,1,2,2,2,2,1
No,22,Travel_Rarely,Research & Development,15,Female,4,Single,1,1,0,0,0,0
No,51,Travel_Frequently,Research & Development,1,Female,1,Single,3,23,13,12,12,8
No,54,Non-Travel,Human Resources,26,Female,4,Single,2,23,5,3,4,4
No,24,Travel_Rarely,Research & Development,18,Male,3,Married,0,6,5,3,1,2
No,34,Travel_Rarely,Research & Development,5,Female,1,Single,2,14,11,10,5,8
No,36,Travel_Frequently,Sales,11,Female,4,Married,0,10,9,7,2,8
No,36,Travel_Rarely,Research & Development,3,Female,4,Divorced,5,7,1,0,0,0
No,30,Travel_Frequently,Research & Development,23,Male,3,Divorced,1,10,10,7,0,9
No,33,Non-Travel,Sales,22,Male,2,Married,0,8,7,7,0,7
Yes,56,Travel_Rarely,Research & Development,14,Female,2,Married,9,7,5,4,4,3
No,51,Travel_Rarely,Research & Development,6,Male,3,Single,7,23,20,18,15,15
No,26,Travel_Rarely,Research & Development,6,Female,2,Married,1,5,5,4,4,3
Yes,19,Travel_Rarely,Sales,22,Male,3,Single,1,0,0,0,0,0
No,22,Travel_Rarely,Research & Development,2,Male,4,Married,0,3,2,1,2,1
No,49,Travel_Rarely,Research & Development,20,Female,1,Married,1,16,15,11,5,11
No,43,Travel_Frequently,Research & Development,28,Female,3,Single,4,18,3,2,1,2
No,50,Travel_Frequently,Sales,12,Female,4,Single,4,16,2,2,2,1
No,26,Travel_Rarely,Human Resources,25,Female,3,Married,1,8,8,7,5,7
No,36,Travel_Rarely,Research & Development,6,Male,2,Divorced,6,7,3,2,0,1
Yes,51,Travel_Frequently,Research & Development,8,Male,4,Single,2,18,4,2,0,3
No,25,Travel_Rarely,Sales,28,Male,3,Married,2,6,2,2,2,2
No,30,Travel_Rarely,Human Resources,9,Male,4,Married,0,12,11,9,4,7
No,38,Travel_Rarely,Research & Development,3,Female,3,Single,3,19,3,2,2,2
No,30,Travel_Rarely,Research & Development,18,Female,3,Single,1,5,5,4,0,4
No,32,Travel_Frequently,Sales,9,Male,4,Divorced,0,9,8,7,0,7
No,30,Travel_Rarely,Research & Development,5,Female,1,Divorced,5,8,3,2,2,2
No,41,Travel_Rarely,Research & Development,9,Male,1,Married,2,7,5,0,1,4
No,40,Travel_Frequently,Research & Development,26,Female,2,Divorced,1,20,20,7,2,13
No,32,Travel_Frequently,Sales,8,Female,4,Single,1,9,9,8,3,7
No,29,Non-Travel,Research & Development,1,Male,3,Married,1,10,10,7,0,9
No,51,Travel_Rarely,Research & Development,7,Male,3,Married,2,10,1,0,0,0
No,34,Travel_Frequently,Sales,2,Female,3,Married,6,6,4,3,1,2
No,27,Non-Travel,Research & Development,9,Male,2,Divorced,6,6,2,2,2,2
No,28,Travel_Rarely,Research & Development,21,Male,4,Married,1,5,5,2,0,2
No,57,Travel_Rarely,Research & Development,24,Male,4,Divorced,3,12,5,3,1,4
No,27,Non-Travel,Research & Development,3,Male,3,Divorced,1,1,1,1,0,1
No,50,Travel_Rarely,Research & Development,11,Female,2,Single,3,21,5,4,4,4
No,38,Travel_Rarely,Sales,1,Female,4,Single,4,12,8,3,0,7
No,32,Travel_Rarely,Research & Development,6,Male,3,Single,3,8,5,4,1,4
Yes,19,Travel_Frequently,Sales,1,Female,1,Single,0,1,0,0,0,0
No,36,Travel_Frequently,Research & Development,3,Male,2,Single,4,13,8,7,7,2
No,45,Travel_Rarely,Sales,4,Female,1,Divorced,4,9,5,4,0,3
No,33,Travel_Rarely,Research & Development,2,Male,4,Single,0,4,3,1,0,2
No,46,Travel_Rarely,Sales,1,Female,1,Divorced,1,24,24,13,15,7
No,38,Travel_Rarely,Research & Development,9,Female,4,Single,1,2,2,2,2,1
No,31,Travel_Rarely,Research & Development,12,Female,4,Married,8,7,4,2,0,2
No,34,Travel_Rarely,Research & Development,27,Female,2,Single,2,9,3,2,1,2
Yes,41,Travel_Rarely,Sales,20,Female,2,Single,1,4,4,3,0,2
No,50,Travel_Rarely,Research & Development,1,Male,3,Married,2,5,3,2,0,2
No,53,Travel_Rarely,Research & Development,13,Female,1,Divorced,1,5,4,2,1,3
No,40,Travel_Rarely,Research & Development,4,Female,3,Married,1,21,20,8,9,9
No,34,Travel_Frequently,Research & Development,2,Male,3,Married,1,10,10,9,1,9
No,51,Travel_Rarely,Research & Development,3,Female,2,Single,3,21,7,7,1,0
No,52,Travel_Rarely,Research & Development,1,Male,3,Married,0,34,33,18,11,9
No,27,Travel_Rarely,Research & Development,9,Female,2,Single,1,7,7,7,0,3
Yes,35,Travel_Rarely,Research & Development,23,Male,3,Married,3,8,1,0,0,1
No,45,Non-Travel,Research & Development,2,Male,4,Married,9,22,20,8,11,8
No,42,Non-Travel,Research & Development,21,Female,3,Divorced,2,11,5,3,0,2
No,38,Travel_Rarely,Research & Development,2,Male,3,Married,9,14,1,0,0,0
No,38,Travel_Rarely,Research & Development,29,Male,4,Married,3,9,7,7,1,7
No,27,Travel_Frequently,Research & Development,1,Male,1,Married,5,6,2,2,2,0
No,49,Non-Travel,Research & Development,18,Male,4,Divorced,1,7,7,7,1,7
No,34,Travel_Frequently,Research & Development,10,Male,3,Divorced,1,5,5,3,2,0
No,40,Travel_Rarely,Research & Development,19,Male,4,Married,8,15,7,2,3,7
Yes,38,Travel_Rarely,Research & Development,29,Male,1,Married,7,17,1,0,0,0
Yes,29,Travel_Rarely,Sales,27,Female,4,Married,1,10,10,4,1,9
No,22,Travel_Rarely,Research & Development,5,Male,2,Divorced,1,4,4,2,2,2
No,36,Travel_Frequently,Research & Development,18,Female,4,Single,1,8,8,1,1,7
No,40,Non-Travel,Research & Development,9,Male,4,Married,9,5,3,2,0,2
No,46,Travel_Rarely,Research & Development,1,Male,1,Divorced,7,17,4,2,0,3
Yes,32,Travel_Rarely,Sales,4,Male,4,Married,1,14,14,8,9,8
No,30,Non-Travel,Research & Development,1,Male,3,Single,1,12,11,8,5,8
No,27,Travel_Frequently,Sales,20,Female,3,Single,1,7,7,7,0,7
No,51,Travel_Rarely,Research & Development,8,Male,2,Married,5,16,10,9,4,7
Yes,30,Travel_Rarely,Research & Development,3,Female,1,Single,5,8,5,2,0,4
No,41,Travel_Rarely,Sales,6,Female,4,Single,3,16,1,0,0,0
Yes,30,Travel_Frequently,Sales,26,Female,1,Single,5,9,6,3,0,1
No,45,Non-Travel,Sales,6,Female,4,Single,6,23,19,7,12,8
No,54,Travel_Rarely,Sales,3,Female,1,Married,2,16,6,2,0,5
No,36,Travel_Rarely,Research & Development,5,Male,2,Single,8,16,13,11,3,7
No,38,Travel_Rarely,Sales,3,Male,3,Divorced,0,17,16,10,5,13
No,29,Travel_Frequently,Sales,1,Female,4,Married,1,11,11,10,4,1
No,35,Travel_Frequently,Sales,1,Female,3,Single,1,10,10,7,0,8
No,52,Travel_Rarely,Research & Development,2,Female,4,Single,7,6,2,2,2,2
No,42,Travel_Rarely,Research & Development,4,Male,4,Married,1,22,22,17,11,15
No,59,Travel_Rarely,Human Resources,6,Male,3,Married,8,7,2,2,2,2
No,43,Travel_Rarely,Sales,16,Female,4,Married,5,22,17,13,1,9
Yes,33,Travel_Rarely,Research & Development,2,Female,1,Married,7,13,9,7,1,7
No,52,Non-Travel,Sales,2,Male,3,Single,1,33,33,7,15,12
No,32,Travel_Rarely,Sales,4,Female,2,Married,2,6,4,3,1,2
Yes,32,Travel_Rarely,Research & Development,1,Male,3,Single,0,4,3,2,1,2
No,39,Travel_Rarely,Research & Development,1,Female,3,Divorced,7,7,3,2,1,2
No,32,Non-Travel,Sales,26,Male,4,Married,0,4,3,2,2,2
No,41,Travel_Rarely,Research & Development,19,Male,1,Divorced,2,17,1,0,0,0
No,40,Travel_Rarely,Research & Development,24,Male,4,Divorced,1,9,9,8,4,7
No,33,Travel_Rarely,Research & Development,5,Female,4,Married,1,2,2,2,0,2
No,34,Travel_Rarely,Research & Development,2,Male,1,Married,6,13,11,9,5,9
Yes,37,Travel_Frequently,Research & Development,10,Male,3,Divorced,6,17,1,0,0,0
No,39,Travel_Frequently,Research & Development,2,Female,3,Single,0,20,19,6,11,8
No,29,Travel_Rarely,Research & Development,15,Male,4,Single,1,6,6,5,1,5
No,42,Travel_Rarely,Research & Development,17,Female,1,Single,3,10,3,2,0,2
No,29,Travel_Rarely,Sales,20,Male,4,Divorced,2,10,3,2,0,2
No,42,Travel_Rarely,Research & Development,2,Female,1,Divorced,0,10,9,6,7,8
No,40,Travel_Rarely,Research & Development,2,Male,3,Divorced,0,22,21,7,3,9
No,51,Travel_Rarely,Research & Development,1,Male,4,Married,1,1,1,0,0,0
No,32,Travel_Rarely,Research & Development,2,Male,1,Single,4,9,6,2,0,4
No,29,Travel_Rarely,Sales,2,Male,2,Married,2,10,0,0,0,0
No,31,Travel_Rarely,Research & Development,23,Male,4,Married,0,10,9,0,7,8
No,25,Non-Travel,Research & Development,5,Male,1,Divorced,1,6,6,3,1,5
No,45,Travel_Rarely,Research & Development,20,Male,4,Married,0,21,20,7,4,10
No,36,Travel_Rarely,Research & Development,6,Male,4,Married,0,16,15,13,10,11
No,55,Travel_Rarely,Research & Development,1,Male,1,Single,0,37,36,10,4,13
Yes,47,Non-Travel,Research & Development,29,Male,2,Married,1,10,10,7,9,9
No,28,Travel_Rarely,Research & Development,9,Male,4,Married,1,5,5,2,0,4
No,37,Travel_Rarely,Sales,6,Male,4,Married,4,7,5,4,0,1
No,21,Travel_Rarely,Research & Development,3,Male,3,Single,1,3,3,2,1,0
No,37,Non-Travel,Research & Development,1,Female,4,Divorced,2,15,5,2,0,2
No,35,Travel_Rarely,Research & Development,22,Female,2,Divorced,7,10,7,7,6,2
No,38,Travel_Rarely,Sales,7,Female,1,Divorced,1,8,8,0,7,7
No,29,Travel_Frequently,Sales,2,Male,4,Single,1,10,10,7,0,9
No,55,Travel_Rarely,Research & Development,20,Male,4,Married,3,12,10,7,0,8
No,37,Travel_Rarely,Research & Development,1,Female,4,Single,1,17,17,12,5,7
Yes,44,Travel_Frequently,Research & Development,24,Male,3,Divorced,3,19,1,0,0,0
Yes,26,Travel_Rarely,Research & Development,16,Male,2,Divorced,2,5,3,2,0,2
No,28,Travel_Rarely,Research & Development,8,Female,4,Single,1,5,5,3,0,2
No,49,Travel_Frequently,Research & Development,10,Female,1,Single,9,22,3,2,1,2
No,36,Travel_Rarely,Research & Development,3,Male,2,Single,4,10,8,0,7,7
Yes,26,Travel_Rarely,Sales,4,Male,4,Single,1,8,8,7,7,4
No,37,Travel_Frequently,Research & Development,9,Male,4,Married,1,4,4,2,1,2
No,35,Travel_Rarely,Sales,16,Male,2,Married,0,12,11,9,6,9
No,36,Travel_Frequently,Research & Development,18,Male,4,Married,4,4,1,0,0,0
No,51,Travel_Rarely,Research & Development,2,Male,2,Divorced,5,13,4,1,1,2
No,41,Travel_Rarely,Sales,2,Male,2,Single,1,22,22,10,0,4
No,18,Travel_Rarely,Sales,10,Female,3,Single,1,0,0,0,0,0
No,28,Travel_Rarely,Research & Development,16,Male,1,Single,0,9,8,3,0,7
No,31,Travel_Rarely,Sales,7,Male,4,Married,4,10,8,7,7,7
No,39,Travel_Rarely,Research & Development,1,Male,4,Divorced,0,19,18,10,3,7
No,32,Travel_Rarely,Sales,7,Male,3,Married,1,13,13,8,4,8
No,38,Travel_Rarely,Research & Development,25,Female,2,Married,3,19,10,8,0,1
No,58,Non-Travel,Research & Development,1,Male,3,Divorced,2,12,5,3,1,2
No,31,Travel_Rarely,Research & Development,5,Male,4,Married,0,6,5,2,0,3
No,31,Travel_Rarely,Human Resources,2,Male,1,Married,3,9,2,2,1,0
No,45,Travel_Frequently,Research & Development,7,Male,1,Divorced,1,24,24,9,9,11
No,31,Travel_Rarely,Research & Development,2,Male,4,Divorced,0,3,2,2,2,2
No,33,Travel_Frequently,Research & Development,5,Female,2,Married,6,12,10,6,8,8
No,39,Travel_Rarely,Research & Development,10,Male,1,Married,1,21,21,9,11,10
Yes,52,Travel_Rarely,Research & Development,8,Male,2,Married,2,11,8,2,7,7
No,27,Travel_Rarely,Research & Development,5,Female,2,Single,1,4,4,3,1,2
No,32,Travel_Rarely,Sales,8,Female,2,Married,1,13,13,12,11,9
No,27,Travel_Rarely,Sales,2,Male,3,Single,1,5,5,4,0,4
No,31,Travel_Rarely,Sales,7,Male,4,Divorced,4,13,7,7,1,7
No,32,Travel_Rarely,Research & Development,2,Female,4,Single,7,10,7,7,0,7
Yes,28,Travel_Rarely,Research & Development,2,Male,4,Married,5,5,3,2,2,2
No,30,Travel_Rarely,Research & Development,28,Female,4,Married,1,11,10,8,1,9
No,31,Travel_Frequently,Research & Development,7,Female,3,Married,1,10,10,9,8,9
Yes,39,Travel_Rarely,Sales,3,Female,3,Married,4,12,1,0,0,0
No,33,Travel_Frequently,Sales,10,Male,4,Single,3,9,7,7,0,1
No,43,Travel_Frequently,Research & Development,10,Female,3,Divorced,1,9,9,7,0,0
No,54,Travel_Frequently,Research & Development,20,Female,3,Single,3,20,4,3,0,3
No,43,Travel_Rarely,Research & Development,7,Female,1,Married,8,10,1,0,0,0
No,45,Travel_Rarely,Research & Development,8,Male,4,Married,9,12,10,9,9,8
No,29,Travel_Rarely,Research & Development,9,Male,4,Single,0,4,3,2,2,2
No,30,Travel_Rarely,Sales,5,Female,3,Divorced,1,10,10,9,1,2
No,27,Travel_Rarely,Sales,8,Female,2,Married,1,8,8,7,0,7
No,38,Travel_Rarely,Research & Development,15,Male,4,Divorced,0,12,11,10,2,9
No,29,Travel_Rarely,Sales,10,Female,2,Divorced,1,7,7,7,1,7
No,35,Travel_Rarely,Research & Development,5,Male,2,Single,0,17,16,6,0,13
No,23,Travel_Rarely,Research & Development,26,Male,4,Divorced,1,4,4,2,0,2
No,41,Travel_Rarely,Research & Development,6,Male,2,Single,6,8,5,4,1,2
No,47,Travel_Frequently,Sales,4,Male,3,Single,3,5,0,0,0,0
No,29,Non-Travel,Sales,2,Male,3,Married,1,4,4,3,0,2
No,42,Travel_Rarely,Human Resources,2,Male,3,Divorced,0,4,3,2,1,0
No,32,Travel_Rarely,Research & Development,2,Female,2,Married,1,8,8,0,0,7
No,48,Travel_Rarely,Sales,29,Female,3,Married,3,15,0,0,0,0
No,37,Travel_Rarely,Research & Development,6,Male,1,Divorced,4,13,7,7,6,7
No,30,Non-Travel,Sales,25,Female,3,Married,7,4,2,2,2,2
No,42,Travel_Rarely,Research & Development,2,Male,4,Single,3,14,1,0,0,0
Yes,21,Travel_Frequently,Sales,1,Female,2,Single,1,3,3,2,1,2
No,36,Non-Travel,Sales,1,Female,4,Single,4,7,1,0,0,0
No,57,Travel_Rarely,Research & Development,1,Male,3,Married,2,15,3,2,1,2
No,40,Travel_Rarely,Research & Development,10,Female,3,Married,3,10,7,7,1,7
No,21,Non-Travel,Sales,9,Male,4,Single,1,3,3,2,2,2
No,37,Travel_Rarely,Research & Development,10,Female,1,Married,6,17,5,4,0,3
Yes,41,Travel_Frequently,Sales,4,Male,2,Single,1,8,8,7,7,7
Yes,40,Travel_Rarely,Sales,22,Male,3,Married,2,8,6,4,1,0
Yes,21,Travel_Rarely,Sales,12,Female,2,Single,1,1,1,0,0,0
No,35,Travel_Rarely,Research & Development,9,Male,2,Single,9,10,1,1,0,0
No,28,Travel_Rarely,Sales,9,Male,4,Single,1,7,7,5,0,7
No,49,Travel_Rarely,Research & Development,7,Male,3,Single,8,26,5,2,0,0
No,51,Travel_Rarely,Sales,14,Female,4,Married,4,18,7,7,0,7
Yes,34,Non-Travel,Sales,19,Male,4,Single,8,9,5,2,0,4
No,55,Travel_Rarely,Research & Development,2,Female,4,Single,2,30,5,4,1,2
No,24,Travel_Rarely,Sales,10,Female,3,Divorced,1,5,5,2,0,3
No,30,Travel_Rarely,Sales,2,Male,2,Married,1,1,1,0,0,0
Yes,26,Travel_Frequently,Research & Development,3,Male,1,Single,0,7,6,4,0,4
No,22,Travel_Rarely,Research & Development,11,Female,2,Married,1,2,2,1,1,2
No,36,Travel_Rarely,Sales,2,Male,3,Married,1,10,10,9,9,0
No,37,Travel_Rarely,Research & Development,14,Female,1,Divorced,1,18,18,7,12,17
No,40,Travel_Rarely,Sales,2,Female,2,Divorced,7,8,5,4,1,3
No,42,Travel_Rarely,Research & Development,1,Female,1,Divorced,3,8,5,2,1,2
No,43,Travel_Rarely,Research & Development,12,Male,2,Divorced,1,25,25,10,3,9
No,40,Travel_Rarely,Research & Development,2,Female,3,Married,6,20,1,0,0,0
No,54,Travel_Rarely,Research & Development,5,Male,1,Married,4,24,4,2,1,2
No,43,Travel_Frequently,Research & Development,21,Male,4,Married,7,8,3,2,1,2
No,43,Travel_Rarely,Research & Development,8,Female,3,Divorced,4,8,5,2,0,2
No,25,Travel_Rarely,Sales,4,Female,4,Single,1,5,5,4,1,3
No,37,Non-Travel,Research & Development,25,Female,3,Married,3,15,13,11,10,7
No,39,Travel_Frequently,Research & Development,1,Male,3,Divorced,1,21,21,8,1,6
No,56,Travel_Frequently,Sales,6,Female,1,Married,9,36,7,7,7,7
No,30,Travel_Rarely,Sales,12,Female,3,Single,0,6,5,4,4,4
Yes,25,Travel_Rarely,Research & Development,3,Male,1,Married,5,6,2,2,0,2
No,52,Travel_Rarely,Research & Development,3,Male,3,Married,2,28,5,4,0,4
No,45,Travel_Rarely,Research & Development,10,Male,4,Married,3,8,2,2,0,2
No,52,Travel_Rarely,Research & Development,4,Female,4,Married,2,31,5,2,1,4
No,42,Travel_Frequently,Research & Development,29,Female,3,Divorced,2,19,5,4,0,2
No,30,Travel_Rarely,Research & Development,2,Female,4,Single,2,11,5,4,0,2
No,60,Travel_Rarely,Research & Development,7,Female,1,Married,5,33,29,8,11,10
No,46,Travel_Rarely,Research & Development,18,Female,3,Divorced,2,19,10,7,0,8
No,42,Travel_Frequently,Research & Development,28,Female,4,Married,0,7,6,5,0,4
Yes,34,Travel_Frequently,Sales,6,Female,3,Divorced,0,3,2,2,1,0
No,38,Travel_Frequently,Research & Development,2,Male,4,Married,1,1,1,0,0,0
No,40,Travel_Rarely,Sales,2,Female,3,Married,0,21,20,15,1,12
No,26,Travel_Rarely,Research & Development,23,Female,4,Divorced,1,3,3,2,0,2
No,30,Non-Travel,Research & Development,3,Male,4,Married,4,9,5,3,1,4
No,29,Travel_Rarely,Research & Development,3,Male,3,Married,1,10,10,2,0,7
No,30,Non-Travel,Sales,22,Female,1,Married,0,10,9,8,7,8
No,57,Travel_Rarely,Sales,29,Male,4,Divorced,3,32,1,0,0,0
No,50,Travel_Rarely,Research & Development,29,Male,3,Married,0,28,27,10,15,7
No,30,Non-Travel,Research & Development,2,Female,4,Single,0,12,11,7,6,7
No,60,Travel_Frequently,Sales,28,Female,1,Married,4,22,18,13,13,11
No,47,Travel_Rarely,Research & Development,2,Female,4,Divorced,5,20,5,0,0,4
No,46,Travel_Rarely,Research & Development,2,Male,3,Married,6,26,3,2,0,1
No,35,Travel_Rarely,Research & Development,22,Male,3,Single,0,6,5,4,4,3
No,54,Travel_Rarely,Research & Development,8,Female,3,Single,7,19,1,0,0,0
No,34,Travel_Rarely,Research & Development,2,Male,3,Divorced,3,14,7,3,5,7
No,46,Travel_Rarely,Sales,10,Female,4,Married,2,15,3,2,1,2
Yes,33,Travel_Rarely,Research & Development,15,Male,3,Married,7,15,7,6,7,7
Yes,33,Travel_Rarely,Research & Development,10,Male,4,Divorced,7,8,4,3,1,3
No,35,Travel_Rarely,Research & Development,16,Male,3,Married,4,10,8,7,0,0
Yes,31,Travel_Frequently,Research & Development,20,Male,3,Married,3,12,1,0,0,0
Yes,34,Travel_Frequently,Human Resources,23,Female,1,Divorced,9,11,3,2,0,2
No,42,Travel_Frequently,Research & Development,5,Male,3,Married,4,8,2,2,2,0
Yes,22,Travel_Frequently,Research & Development,4,Male,3,Single,5,4,2,2,1,2
No,48,Travel_Rarely,Sales,2,Female,4,Married,2,14,9,7,6,7
No,55,Travel_Rarely,Sales,18,Female,2,Single,3,37,10,9,7,7
No,35,Travel_Rarely,Sales,1,Male,3,Married,9,15,11,9,6,9
No,40,Travel_Rarely,Research & Development,6,Female,3,Single,7,22,20,6,5,13
No,39,Travel_Frequently,Research & Development,8,Female,3,Married,1,8,8,3,0,7
No,42,Travel_Rarely,Research & Development,24,Male,1,Married,1,10,10,9,5,8
No,45,Travel_Rarely,Sales,2,Male,2,Married,0,9,8,7,3,7
No,33,Travel_Rarely,Research & Development,1,Female,3,Divorced,4,10,6,1,0,5
No,31,Travel_Rarely,Sales,7,Male,4,Divorced,9,10,5,4,0,1
No,40,Non-Travel,Sales,28,Male,1,Divorced,3,20,1,0,0,1
No,41,Non-Travel,Research & Development,2,Female,3,Single,2,10,8,7,0,7
No,26,Travel_Rarely,Sales,29,Male,3,Divorced,5,8,0,0,0,0
No,35,Travel_Rarely,Sales,1,Female,3,Single,1,5,5,4,0,3
No,34,Travel_Rarely,Sales,21,Male,4,Single,1,10,10,7,5,7
No,37,Travel_Rarely,Research & Development,1,Female,4,Single,4,12,6,5,1,2
No,46,Travel_Frequently,Research & Development,18,Female,3,Married,5,28,2,2,1,2
No,41,Travel_Rarely,Sales,2,Female,1,Married,7,22,18,16,11,8
No,37,Non-Travel,Sales,9,Male,2,Divorced,1,9,9,5,7,7
No,38,Travel_Rarely,Research & Development,10,Female,3,Married,3,18,1,0,0,0
No,49,Travel_Rarely,Research & Development,18,Male,3,Divorced,1,31,31,9,0,9
No,24,Travel_Rarely,Research & Development,23,Male,4,Married,1,6,6,5,1,4
